frame,distance,p3_action_frame,p3_controller_c_stick_x,p3_controller_c_stick_y,p3_controller_l_shoulder,p3_controller_r_shoulder,p3_controller_main_stick_x,p3_controller_main_stick_y,p3_button_button_a,p3_button_button_b,p3_button_button_x,p3_button_button_y,p3_button_button_z,p3_button_button_l,p3_button_button_r,p3_button_button_start,p3_button_button_d_up,p3_button_button_d_down,p3_button_button_d_left,p3_button_button_d_right,p3_ecb_bottom_x,p3_ecb_bottom_y,p3_ecb_left_x,p3_ecb_left_y,p3_ecb_right_x,p3_ecb_right_y,p3_ecb_top_x,p3_ecb_top_y,p3_facing,p3_hitlag_left,p3_hitstun_frames_left,p3_iasa,p3_invulnerability_left,p3_invulnerable,p3_jumps_left,p3_moonwalkwarning,p3_nana,p3_off_stage,p3_on_ground,p3_percent,p3_position_x,p3_position_y,p3_shield_strength,p3_speed_air_x_self,p3_speed_ground_x_self,p3_speed_x_attack,p3_speed_y_self,p3_stock,p4_action_frame,p4_controller_c_stick_x,p4_controller_c_stick_y,p4_controller_l_shoulder,p4_controller_r_shoulder,p4_controller_main_stick_x,p4_controller_main_stick_y,p4_button_button_a,p4_button_button_b,p4_button_button_x,p4_button_button_y,p4_button_button_z,p4_button_button_l,p4_button_button_r,p4_button_button_start,p4_button_button_d_up,p4_button_button_d_down,p4_button_button_d_left,p4_button_button_d_right,p4_ecb_bottom_x,p4_ecb_bottom_y,p4_ecb_left_x,p4_ecb_left_y,p4_ecb_right_x,p4_ecb_right_y,p4_ecb_top_x,p4_ecb_top_y,p4_facing,p4_hitlag_left,p4_hitstun_frames_left,p4_iasa,p4_invulnerability_left,p4_invulnerable,p4_jumps_left,p4_moonwalkwarning,p4_nana,p4_off_stage,p4_on_ground,p4_percent,p4_position_x,p4_position_y,p4_shield_strength,p4_speed_air_x_self,p4_speed_ground_x_self,p4_speed_x_attack,p4_speed_y_self,p4_stock,proj0_frame,proj0_owner,proj0_position_x,proj0_position_y,proj0_speed_x,proj0_speed_y,proj1_frame,proj1_owner,proj1_position_x,proj1_position_y,proj1_speed_x,proj1_speed_y,stage,p3_action,p3_character,p4_action,p4_character
27,86.7212668553683,16,0.5,0.5,0.0,0.0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,2,False,False,False,True,0,-46.599998474121094,30.14219856262207,60.0,0.0,0.0,0.0,0.0,4,5,0.5,0.5,0.0,0.0,0.018750011920928955,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,6,False,False,False,True,0,40.12120819091797,30.242599487304688,60.0,0.3389536738395691,0.3389536738395691,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,NEUTRAL_B_CHARGING,SHEIK,KNEE_BEND,JIGGLYPUFF
42,66.0368956117052,13,0.5,0.5,0.0,0.0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,2,False,False,False,True,0,-46.599998474121094,30.14219856262207,60.0,0.0,0.0,0.0,0.0,4,2,0.5,0.5,0.0,0.0,0.0062499940395355225,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,5,False,False,False,False,0,19.378374099731445,27.362600326538086,60.0,-1.3331249952316284,0.0,0.0,-0.5760000348091125,4,,,,,,,,,,,,,DREAMLAND,NEUTRAL_B_CHARGING,SHEIK,FALLING,JIGGLYPUFF
57,50.142952384439084,7,0.5,0.5,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,2,False,False,False,True,0,-46.599998474121094,30.14219856262207,60.0,0.0,0.0,0.0,0.0,4,10,0.5,0.5,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,False,4,False,False,False,False,0,2.552626132965088,40.058597564697266,60.0,-1.350000023841858,0.0,0.0,0.8819998502731323,4,,,,,,,,,,,,,DREAMLAND,NEUTRAL_B_ATTACKING,SHEIK,BAIR,JIGGLYPUFF
72,18.956721757853796,5,0.5,0.5,0.0,0.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,1,False,False,False,False,0,-26.73000717163086,28.942197799682617,60.0,0.800000011920929,0.0,0.0,-0.47999998927116394,4,25,0.5,0.5,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,False,4,False,False,False,False,0,-17.697376251220703,45.60859680175781,60.0,-1.350000023841858,0.0,0.0,-0.0780002772808075,4,,,,,,,,,,,,,DREAMLAND,FALLING,SHEIK,BAIR,JIGGLYPUFF
87,20.326138750483484,11,0.5,0.5,0.0,0.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,False,1,False,False,False,False,0,-14.730016708374023,7.522197723388672,60.0,0.800000011920929,0.0,0.0,-2.130000114440918,4,2,0.5,0.012499988079071045,0.0,0.0,0.987500011920929,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,False,4,False,False,False,False,0,-20.347753524780273,27.056602478027344,60.0,1.3162500858306885,0.0,0.0,-1.600000023841858,4,,,,,,,,,,,,,DREAMLAND,FAIR,SHEIK,DAIR,JIGGLYPUFF
102,9.655258769790745,0,0.5,0.5,1.0,1.0,0.831250011920929,0.13124999403953552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2,0,False,0,False,2,False,False,False,True,0,-6.490015983581543,0.008899999782443047,57.19999694824219,0.10800009220838547,0.34800004959106445,0.0,0.0,4,14,0.5,0.5,0.3499999940395355,0.3499999940395355,0.5,0.17500001192092896,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2,0,0,0,False,4,False,False,False,False,0,-12.114751815795898,7.856598377227783,60.0,0.8740001320838928,0.0,0.0,-1.600000023841858,4,,,,,,,,,,,,,DREAMLAND,SHIELD_STUN,SHEIK,DAIR,JIGGLYPUFF
117,6.872113263352526,-1,0.5,0.5,1.0,1.0,0.9750000238418579,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,6,False,0,False,2,False,False,False,True,0,-4.134014129638672,0.008899999782443047,54.12000274658203,0.0,0.0,0.0,0.0,4,14,0.5,0.5,0.3499999940395355,0.3499999940395355,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,6,False,False,False,True,0,-11.00612735748291,0.008899999782443047,60.0,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,SHIELD,SHEIK,DAIR_LANDING,JIGGLYPUFF
132,21.281168261131572,12,0.5,0.5,0.5928571224212646,0.5928571224212646,0.9624999761581421,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,1,False,False,False,False,0,5.285985946655273,17.768901824951172,54.88999938964844,0.7400000095367432,0.0,0.0,0.820000171661377,4,2,0.5,0.5,0.0,0.0,0.856249988079071,0.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,5,False,False,False,False,0,-10.1745023727417,3.14490008354187,60.0,0.5428749918937683,0.0,0.0,1.5360000133514404,4,,,,,,,,,,,,,DREAMLAND,JUMPING_FORWARD,SHEIK,JUMPING_FORWARD,JIGGLYPUFF
147,18.662535255639003,0,0.0062499940395355225,0.5,1.0,1.0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,2,False,False,False,True,0,11.735981941223145,0.008899927139282227,55.93999481201172,0.15300002694129944,0.15300002694129944,0.0,-3.0,4,12,0.5,0.5,0.3499999940395355,0.3499999940395355,1.0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,False,5,False,False,False,False,0,9.248373031616211,18.504899978637695,60.0,1.350000023841858,0.0,0.0,0.5759998559951782,4,,,,,,,,,,,,,DREAMLAND,BAIR_LANDING,SHEIK,UAIR,JIGGLYPUFF
162,19.456039565799035,3,0.5,0.5,0.0,0.0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,2,False,False,False,True,0,11.808981895446777,0.008899999782443047,56.989990234375,0.0,0.0,0.0,0.0,4,27,0.5,0.5,0.0,0.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,False,5,False,False,False,False,0,11.768499374389648,19.46489715576172,60.0,-0.19062480330467224,0.0,0.0,-0.3840002715587616,4,,,,,,,,,,,,,DREAMLAND,KNEE_BEND,SHEIK,UAIR,JIGGLYPUFF
